generation,frame,population_size,average_fitness,best_fitness,worst_fitness,average_lifespan,best_lifespan,average_food_eaten,average_distance_traveled,average_spike_hits,behavioral_diversity_score,average_weight_magnitude,weight_std,convergence_score,mutation_rate,mutation_strength,recurrent_memory_usage
123,79817,1,0.229,0.229,0.229,801.0,801,4.0,1112.0,4.0,0.0,0.4841,0.5702,0.0,0.05,0.2,0
124,80185,167,0.8994,1.0,0.2008,2958.1,3000,18.3,4081.6,2.75,0.0941,0.4718,0.5578,0.8411,0.05,0.2,0
125,80961,3,0.1416,0.2239,0.0505,621.0,776,1.67,857.7,2.67,0.161,0.4706,0.5565,0.8266,0.05,0.2,0
126,81183,179,0.8744,1.0,0.0505,2904.8,3000,17.56,3997.1,2.79,0.0865,0.4718,0.5578,0.8465,0.05,0.2,0
127,81767,185,0.8654,1.0,0.0505,2887.3,3000,17.28,3970.1,2.76,0.0935,0.4718,0.5578,0.8483,0.05,0.2,0
128,82817,1,0.0251,0.0251,0.0251,150.0,150,0.0,252.9,2.0,0.0,0.461,0.5499,0.0,0.05,0.2,0
129,83368,151,0.9296,1.0,0.8526,2998.7,3000,19.45,4134.6,2.92,0.0927,0.4716,0.5575,0.7937,0.05,0.2,0
130,84183,160,0.9189,1.0,0.4528,2988.2,3000,18.99,4136.8,2.89,0.097,0.4717,0.5577,0.8518,0.05,0.2,0
131,84821,1,0.123,0.123,0.123,638.0,638,1.0,648.4,3.0,0.0,0.4673,0.5605,0.0,0.05,0.2,0
132,85817,1,0.1388,0.1388,0.1388,861.0,861,0.0,1199.8,1.0,0.0,0.4714,0.5573,0.0,0.05,0.2,0
133,86368,1,0.0426,0.0426,0.0426,274.0,274,0.0,300.9,2.0,0.0,0.4781,0.5637,0.0,0.05,0.2,0
134,87112,1,0.0419,0.0419,0.0419,260.0,260,0.0,361.5,2.0,0.0,0.4789,0.5647,0.0,0.05,0.2,0
135,87444,199,0.8459,1.0,0.0419,2828.2,3000,16.81,3916.0,2.77,0.0911,0.4722,0.5583,0.838,0.05,0.2,0
136,88003,155,0.9254,1.0,0.4765,2993.5,3000,19.26,4147.7,2.91,0.0958,0.4715,0.5576,0.845,0.05,0.2,0
137,88817,1,0.0396,0.0396,0.0396,257.0,257,0.0,266.9,2.0,0.0,0.4755,0.5629,0.0,0.05,0.2,0
138,89368,169,0.9031,1.0,0.0396,2958.5,3000,18.48,4086.1,2.9,0.0973,0.4714,0.5575,0.8528,0.05,0.2,0
139,89728,2,0.0558,0.0851,0.0266,268.0,360,0.5,379.9,2.5,0.4128,0.4804,0.5681,0.8309,0.05,0.2,0
140,90319,181,0.8687,1.0,0.0266,2872.4,3000,17.57,3958.1,2.86,0.0994,0.4714,0.5575,0.8549,0.05,0.2,0
141,90444,187,0.8637,1.0,0.0266,2873.2,3000,17.34,3945.1,2.87,0.0944,0.4715,0.5576,0.8463,0.05,0.2,0
142,91052,1,0.0254,0.0254,0.0254,160.0,160,0.0,201.7,2.0,0.0,0.4813,0.5643,0.0,0.05,0.2,0
143,91817,151,0.9333,1.0,0.8624,2998.7,3000,19.58,4165.0,2.97,0.0815,0.4717,0.5578,0.8502,0.05,0.2,0
144,92368,1,0.082,0.082,0.082,349.0,349,1.0,523.4,3.0,0.0,0.4773,0.5631,0.0,0.05,0.2,0
145,92728,164,0.9068,1.0,0.082,2948.6,3000,18.71,4102.1,2.99,0.0933,0.4717,0.5579,0.8462,0.05,0.2,0
146,93100,170,0.8876,1.0,0.082,2893.4,3000,18.25,4022.0,3.01,0.0836,0.4717,0.5578,0.8495,0.05,0.2,0
147,93444,1,0.0388,0.0388,0.0388,237.0,237,0.0,362.5,2.0,0.0,0.4704,0.5584,0.0,0.05,0.2,0
148,94052,182,0.8687,1.0,0.0388,2855.6,3000,17.66,3968.1,2.95,0.0893,0.4716,0.5577,0.8419,0.05,0.2,0
149,94817,1,0.1505,0.1505,0.1505,763.0,763,1.0,1190.7,2.0,0.0,0.466,0.5472,0.0,0.05,0.2,0
150,95368,195,0.843,1.0,0.0388,2794.9,3000,16.96,3879.9,2.92,0.1125,0.4717,0.5579,0.8443,0.05,0.2,0
151,95728,153,0.9336,1.0,0.7077,2998.7,3000,19.62,4148.4,2.95,0.0856,0.4718,0.5579,0.842,0.05,0.2,0
152,96100,161,0.9141,1.0,0.2213,2951.6,3000,19.07,4080.2,2.98,0.0903,0.4719,0.5579,0.8539,0.05,0.2,0
153,97035,3,0.1078,0.1913,0.0253,537.3,935,1.0,559.9,2.67,0.1425,0.4734,0.5629,0.8326,0.05,0.2,0
154,97817,176,0.8788,1.0,0.0253,2876.1,3000,18.02,3966.6,2.92,0.0808,0.472,0.5582,0.8444,0.05,0.2,0
155,98728,1,0.0555,0.0555,0.0555,378.0,378,0.0,253.3,2.0,0.0,0.4672,0.5575,0.0,0.05,0.2,0
156,99100,192,0.867,1.0,0.0253,2867.0,3000,17.53,3950.0,2.85,0.1162,0.4718,0.5581,0.842,0.05,0.2,0
157,99679,198,0.8493,1.0,0.0253,2818.4,3000,17.1,3883.1,2.85,0.1011,0.4718,0.5581,0.7837,0.05,0.2,0
158,100071,154,0.9318,1.0,0.2275,2986.8,3000,19.67,4117.8,2.87,0.103,0.4717,0.5579,0.8465,0.05,0.2,0
159,100817,2,0.0379,0.053,0.0228,228.0,318,0.0,374.4,2.5,0.3109,0.4746,0.5585,0.8035,0.05,0.2,0
160,101728,171,0.8983,1.0,0.0228,2923.1,3000,18.61,4024.0,2.8,0.1027,0.4719,0.558,0.8517,0.05,0.2,0
161,102100,1,0.0253,0.0253,0.0253,156.0,156,0.0,224.5,2.0,0.0,0.4737,0.5605,0.0,0.05,0.2,0
162,102679,1,0.0328,0.0328,0.0328,205.0,205,0.0,273.8,2.0,0.0,0.4666,0.5503,0.0,0.05,0.2,0
163,103725,191,0.8606,1.0,0.0228,2843.8,3000,17.46,3927.2,2.79,0.1118,0.472,0.5583,0.8485,0.05,0.2,0
164,103817,197,0.8585,1.0,0.0228,2848.6,3000,17.3,3940.7,2.8,0.0954,0.4721,0.5584,0.8552,0.05,0.2,0
165,104512,1,0.1121,0.1121,0.1121,662.0,662,0.0,1192.6,1.0,0.0,0.4814,0.57,0.0,0.05,0.2,0
166,104728,159,0.9252,1.0,0.1121,2967.9,3000,19.5,4121.3,2.87,0.0936,0.4718,0.558,0.7913,0.05,0.2,0
167,105100,1,0.0397,0.0397,0.0397,247.0,247,0.0,339.1,2.0,0.0,0.4712,0.5544,0.0,0.05,0.2,0
168,105679,172,0.8992,1.0,0.0397,2917.0,3000,18.67,4043.1,2.74,0.0987,0.4718,0.558,0.8545,0.05,0.2,0
169,106619,2,0.0906,0.1127,0.0685,476.5,689,0.5,727.5,2.5,0.1835,0.4665,0.5539,0.8287,0.05,0.2,0
170,106817,184,0.8723,1.0,0.0397,2859.2,3000,17.86,3972.5,2.74,0.0969,0.4719,0.5582,0.7927,0.05,0.2,0
171,107208,1,0.0277,0.0277,0.0277,168.0,168,0.0,266.0,2.0,0.0,0.4726,0.5586,0.0,0.05,0.2,0
172,107728,196,0.8508,1.0,0.0277,2811.5,3000,17.21,3919.1,2.75,0.1104,0.4718,0.5581,0.8417,0.05,0.2,0
173,108665,152,0.9408,1.0,0.3841,2989.8,3000,20.07,4158.2,2.92,0.0898,0.4716,0.5578,0.8447,0.05,0.2,0
